Country,City,Lat,Lng,Cloudiness,Date,Humidity,Max Temp,Wind Speed
MY,George Town,5.4112,100.3354,40,1619480692,94,75.2,1.14
MX,Puerto Escondido,15.85,-97.0667,40,1619481476,66,87.8,4.61
US,Barrow,71.2906,-156.7887,1,1619481342,79,21.2,19.57
NZ,Bluff,-46.6,168.3333,54,1619481021,74,46.99,11.99
NZ,Mataura,-46.1927,168.8643,93,1619480990,75,46.0,11.99
AU,New Norfolk,-42.7826,147.0587,10,1619481476,76,62.01,3.62
EG,Hurghada,27.2574,33.8129,0,1619481042,33,75.2,11.5
CA,Inuvik,68.3499,-133.7218,40,1619481477,45,21.2,9.22
UY,Rocha,-34.4833,-54.3333,0,1619481053,82,52.97,5.7
US,Westport,41.1415,-73.3579,1,1619481301,18,59.0,21.85
EC,Puerto Ayora,-0.7393,-90.3518,25,1619480900,85,75.9,7.54
NO,Vardø,70.3705,31.1107,100,1619480984,79,31.86,16.49
RU,Khatanga,71.9667,102.5,100,1619481478,94,21.09,16.87
TZ,Ifakara,-8.1333,36.6833,81,1619481478,97,70.21,0.76
AU,Hobart,-42.8794,147.3294,20,1619481283,62,62.01,6.91
MV,Hithadhoo,-0.6,73.0833,12,1619481478,63,82.29,4.14
PF,Rikitea,-23.1203,-134.9692,83,1619480973,73,77.74,7.16
US,Elizabeth City,36.2946,-76.2511,1,1619481479,48,62.6,9.22
NC,Poum,-20.2333,164.0167,60,1619481082,69,76.68,21.0
SA,Umluj,25.0213,37.2685,0,1619481479,70,76.91,6.96
YE,Sayyan,15.1718,44.3244,100,1619481191,70,56.28,2.24
AU,Busselton,-33.65,115.3333,99,1619480838,73,66.87,2.1
US,Jamestown,42.097,-79.2353,40,1619481019,42,46.4,11.5
NA,Lüderitz,-26.6481,15.1594,80,1619481088,85,60.17,8.41
US,Kapaa,22.0752,-159.319,1,1619480903,65,78.8,11.5
IS,Vestmannaeyjar,63.4427,-20.2734,13,1619480907,90,44.47,9.42
PT,Camacha,33.0833,-16.3333,40,1619481481,82,62.6,11.5
GL,Qaanaaq,77.484,-69.3632,95,1619480998,70,38.52,6.87
AR,Ushuaia,-54.8,-68.3,75,1619480875,87,42.8,3.44
ES,Mahon,39.8885,4.2658,20,1619481481,88,57.2,11.5
HK,Hong Kong,22.2855,114.1577,100,1619480716,88,75.0,1.01
IN,Tura,25.5198,90.2201,89,1619480809,43,76.82,7.4
BR,Alta Floresta,-9.8756,-56.0861,0,1619481083,100,75.2,3.13
RU,Anadyr,64.75,177.4833,0,1619481126,93,30.2,4.47
CL,Punta Arenas,-53.15,-70.9167,90,1619480992,93,44.6,4.61
ZA,Bredasdorp,-34.5322,20.0403,41,1619480992,94,53.6,2.3
RU,Petropavlovsk-Kamchatskiy,53.0452,158.6483,90,1619481482,100,33.8,4.47
TO,Vaini,-21.2,-175.2,75,1619480791,88,77.0,6.91
CA,Saint-Augustin,51.226,-58.6502,100,1619481470,82,37.53,33.98
EG,Alexandria,31.2156,29.9553,0,1619481251,82,62.6,8.05
IS,Hofn,64.2539,-15.2082,21,1619480991,69,38.44,0.63
BR,Maraã,-1.8333,-65.3667,98,1619481483,98,73.6,4.38
CK,Avarua,-21.2078,-159.775,63,1619480882,74,82.4,8.05
CA,Tuktoyaktuk,69.4541,-133.0374,1,1619481006,72,10.4,16.11
ZA,Hermanus,-34.4187,19.2345,74,1619480972,85,62.01,5.41
AU,Wollongong,-34.4333,150.8833,0,1619481484,74,70.0,1.01
RU,Saskylakh,71.9167,114.0833,91,1619481080,94,7.16,4.25
ES,San Javier,37.8063,-0.8374,76,1619481484,100,61.0,4.61
NC,Bourail,-21.5667,165.4833,34,1619481484,67,74.77,14.61
CA,Pangnirtung,66.1451,-65.7125,100,1619481032,99,34.74,3.29
KE,Maralal,1.0968,36.698,100,1619481485,82,61.02,2.64
KI,Butaritari,3.0707,172.7902,88,1619480819,76,82.96,12.37
US,Makakilo City,21.3469,-158.0858,40,1619481039,57,82.4,11.5
CA,Yellowknife,62.456,-114.3525,40,1619480905,52,10.99,18.41
BA,Čelinac,44.7228,17.3278,100,1619481485,87,46.4,2.3
BR,Bonfim,3.0833,-59.95,97,1619481486,78,79.54,5.97
RU,Ust-Nera,64.5667,143.2,100,1619481486,86,25.81,3.83
CA,Beaverlodge,55.2166,-119.4361,75,1619481486,37,48.2,6.91
CI,Tabou,4.423,-7.3528,48,1619481487,85,80.26,7.29
GL,Upernavik,72.7868,-56.1549,97,1619481026,79,34.48,4.25
PF,Faanui,-16.4833,-151.75,93,1619481060,66,81.45,4.05
CA,Sioux Lookout,50.1001,-91.917,90,1619481487,75,35.6,6.91
US,Rincon,32.296,-81.2354,40,1619481212,49,71.6,10.36
BR,Rio Grande,-32.035,-52.0986,85,1619480958,89,55.99,12.28
CA,La Ronge,55.1001,-105.2842,100,1619481028,75,37.4,13.8
RU,Severo-Kuril'sk,50.6789,156.125,100,1619480836,97,31.57,20.78
GL,Tasiilaq,65.6145,-37.6368,75,1619481024,65,41.0,7.47
RE,Saint-Philippe,-21.3585,55.7679,90,1619480840,78,77.0,18.41
AU,Port Lincoln,-34.7333,135.8667,80,1619481046,65,65.01,6.96
CN,Shenzhen,22.5455,114.0683,100,1619481229,99,73.99,6.87
CN,Changji,44.0167,87.3167,0,1619481489,54,51.8,6.71
AT,Krems,48.4092,15.6142,5,1619481489,76,37.99,4.05
US,Plainview,40.7765,-73.4673,8,1619481193,29,57.0,12.24
RU,Tommot,58.9564,126.2925,100,1619481489,92,36.99,7.56
BR,Arraial do Cabo,-22.9661,-42.0278,40,1619480998,83,77.0,3.44
BW,Letlhakeng,-24.0944,25.0298,2,1619481165,23,60.49,3.87
ID,Gondanglegi,-7.7479,112.0132,24,1619481490,85,77.47,6.91
BR,Marau,-28.4492,-52.2,15,1619481490,85,51.73,2.42
FO,Vestmanna,62.1564,-7.1664,20,1619481491,81,39.2,17.27
GL,Narsaq,60.9167,-46.05,75,1619481081,87,37.4,3.44
US,Albany,42.6001,-73.9662,1,1619480987,31,48.99,11.01
PF,Atuona,-9.8,-139.0333,82,1619481491,74,79.84,14.61
FO,Klaksvík,62.2266,-6.589,100,1619480912,81,39.2,13.8
IN,Robertsganj,24.7,83.0667,48,1619481492,13,76.08,5.26
MR,Adrar,20.5022,-10.0711,23,1619481014,19,82.42,11.95
US,Indianola,41.3581,-93.5574,20,1619481492,39,84.2,14.97
BR,Riachão,-7.3619,-46.6172,76,1619481492,90,73.06,1.52
CL,Lebu,-37.6167,-73.65,3,1619480999,87,54.05,10.18
TR,Sivas Province,39.7916,37.0019,75,1619481493,100,33.8,9.22
BR,Humaitá,-7.5061,-63.0208,94,1619481493,97,73.92,2.3
GL,Nanortalik,60.1432,-45.2371,95,1619481056,97,33.58,10.09
MM,Myitkyina,25.3833,97.4,16,1619481494,38,75.51,1.99
BR,Jardim,-21.4803,-56.1381,0,1619481136,59,64.99,6.29
NU,Alofi,-19.0595,-169.9187,38,1619480846,70,86.0,13.8
US,Fallon,39.4735,-118.7774,40,1619481148,15,57.2,18.41
ZW,Hwange,-18.3693,26.5019,36,1619481494,59,67.87,3.38
SY,Abu Kamal,34.4506,40.9171,41,1619481495,33,70.0,11.88
RU,Leningradskiy,69.3833,178.4167,41,1619480892,85,30.9,4.68
NP,Jumla,29.2747,82.1838,0,1619481495,55,45.95,4.72
ZW,Chiredzi,-21.05,31.6667,4,1619481496,56,64.35,2.04
CO,Inírida,3.8653,-67.9239,98,1619481142,94,76.28,1.99
CN,Yibin,28.7667,104.6238,100,1619481496,81,65.73,1.86
GW,Catió,11.2833,-15.25,71,1619481496,68,77.95,8.01
IE,Letterkenny,54.95,-7.7333,92,1619481261,94,45.81,8.12
UY,Chui,-33.6971,-53.4616,7,1619480945,77,55.11,8.01
BR,Touros,-5.1989,-35.4608,20,1619481102,83,78.8,4.61
PT,Ribeira Grande,38.5167,-28.7,100,1619481062,84,60.67,3.38
US,Amherst,41.3978,-82.2224,1,1619481202,44,59.0,6.91
US,Saint Paul Harbor,57.79,-152.4072,90,1619481011,81,42.8,12.66
MU,Mahébourg,-20.4081,57.7,75,1619480769,94,77.0,14.97
ZA,Port Alfred,-33.5906,26.891,99,1619480884,78,67.15,11.79
RU,Dikson,73.5069,80.5464,100,1619480880,98,31.8,16.91
CL,Talcahuano,-36.7167,-73.1167,0,1619481498,82,59.0,10.36
IS,Grindavik,63.8424,-22.4338,75,1619481022,87,44.6,6.91
ZA,Cape Town,-33.9258,18.4232,75,1619480969,94,63.0,12.66
CL,Constitución,-35.3333,-72.4167,0,1619481083,69,57.97,8.81
JP,Hasaki,35.7333,140.8333,75,1619480873,50,55.4,5.75
IN,Leh,34.1667,77.5833,7,1619481498,38,31.12,3.13
SJ,Longyearbyen,78.2186,15.6401,40,1619480853,63,19.4,10.36
RU,Mogocha,53.7333,119.7667,94,1619481499,61,45.0,6.46
US,Powell,40.1578,-83.0752,1,1619481499,26,69.8,10.36
NA,Opuwo,-18.0607,13.84,9,1619481500,60,62.65,3.6
JP,Naze,28.3667,129.4833,20,1619481050,60,69.8,9.22
PT,Ponta do Sol,32.6667,-17.1,72,1619480985,81,61.0,1.99
US,Half Moon Bay,37.4636,-122.4286,40,1619481114,67,59.0,14.97
US,Chesterfield,37.3835,-77.5997,0,1619481387,59,63.0,4.21
CO,San Zenón,9.2422,-74.5004,98,1619481501,83,79.43,6.04
RU,Tiksi,71.6872,128.8694,100,1619481023,89,16.12,12.15
MM,Pakokku,21.3333,95.1,3,1619481501,62,85.05,8.63
AR,Mar del Plata,-38.0023,-57.5575,0,1619481501,82,55.4,4.25
OM,Salalah,17.0151,54.0924,40,1619481109,74,82.4,4.61
US,Nampa,43.5407,-116.5635,75,1619481302,93,48.0,6.91
GL,Qaqortoq,60.7167,-46.0333,75,1619481502,87,37.4,3.44
NZ,Kaitangata,-46.2817,169.8464,72,1619480977,78,48.0,5.99
US,Pacifica,37.6138,-122.4869,40,1619481502,67,55.99,14.97
PH,Sarangani,5.4033,125.4636,100,1619481206,71,82.29,3.6
US,Avera,33.194,-82.5271,1,1619481102,43,75.2,4.88
IS,Olafsvik,64.8945,-23.7142,0,1619481503,62,42.3,4.47
BR,Cururupu,-1.8283,-44.8683,90,1619481503,93,74.93,2.66
BR,Castro,-24.7911,-50.0119,61,1619481017,79,60.49,2.93
ML,Kayes,14.0,-11.0,87,1619481504,16,96.76,1.68
TM,Gazojak,41.1875,61.4036,0,1619480887,17,69.85,10.83
RU,Bay-Khaak,51.1667,94.5,98,1619481504,49,36.32,2.98
BR,Cabedelo,-6.9811,-34.8339,0,1619481504,94,77.0,5.75
RU,Pevek,69.7008,170.3133,100,1619480973,91,24.71,3.67
BR,Prainha,-1.8,-53.48,98,1619481505,96,74.14,2.53
US,Hilo,19.7297,-155.09,40,1619480893,61,78.8,9.22
TR,Viranşehir,37.2353,39.7631,1,1619481505,63,55.62,5.03
RU,Ust-Kuyga,70.0167,135.6,100,1619481506,94,27.46,7.05
JP,Kushima,31.4583,131.2333,75,1619481506,63,60.8,6.91
AI,The Valley,18.217,-63.0578,40,1619481068,78,80.6,9.22
AO,Saurimo,-9.6608,20.3916,99,1619481506,85,67.6,2.64
GL,Ilulissat,69.2167,-51.1,75,1619481087,46,48.2,12.66
MU,Souillac,-20.5167,57.5167,75,1619480894,94,77.0,14.97
CA,Norman Wells,65.282,-126.8329,75,1619480971,45,17.6,6.91
ML,Tessalit,20.1986,1.0114,41,1619480994,8,88.34,5.46
ZA,Port Elizabeth,-33.918,25.5701,75,1619480837,88,62.6,5.75
RU,Cherskiy,68.75,161.3,63,1619480952,81,22.75,8.52
RU,Lavrentiya,65.5833,-171.0,81,1619480852,90,32.67,2.06
CL,Lautaro,-38.5167,-72.45,0,1619481508,88,57.2,4.61
PH,Pagudpud,18.5616,120.7868,75,1619481508,69,78.8,3.44
RU,Iskateley,67.6803,53.1512,100,1619481508,98,35.67,5.44
SL,Yengema,8.7167,-11.1667,74,1619481509,97,71.37,0.6
ZA,East London,-33.0153,27.9116,97,1619481000,81,68.45,7.34
AO,Mossamedes,-15.1961,12.1522,1,1619480942,73,74.86,7.02
PG,Finschhafen,-6.6024,147.8681,65,1619481509,69,83.91,2.75
BR,Anori,-3.7728,-61.6442,100,1619481510,99,73.13,2.17
PT,Ponta Delgada,37.7333,-25.6667,75,1619481510,82,59.0,6.91
AU,Carnarvon,-24.8667,113.6333,0,1619480988,67,62.6,6.91
ML,Araouane,18.9048,-3.5265,18,1619481067,13,89.35,9.17
ID,Balikpapan,-1.2675,116.8289,69,1619481084,88,77.7,2.24
GQ,Luba,3.4568,8.5547,20,1619481511,89,78.8,4.61
US,Laguna,38.421,-121.4238,40,1619480953,29,66.99,6.91
RU,Rzhaksa,52.1338,42.0264,53,1619481511,93,38.41,10.51
US,Bud,39.447,-86.1758,1,1619481139,35,73.4,14.97
CV,Praia,14.9215,-23.5087,75,1619481511,73,71.6,12.66
US,Kenai,60.5544,-151.2583,1,1619480948,30,59.0,9.22
VE,Ciudad Bolivar,8.1222,-63.5497,94,1619481163,44,89.37,12.3
VN,Qui Nhon,13.7667,109.2333,88,1619481512,83,80.1,3.29
US,Broome,42.2506,-75.833,1,1619481040,29,44.6,13.8
CN,Nanma,36.1817,118.1583,76,1619481513,80,60.01,3.0
NA,Walvis Bay,-22.9575,14.5053,65,1619481043,94,61.0,1.14
BI,Makamba,-4.1348,29.804,92,1619481251,91,60.13,1.03
CA,Thompson,55.7435,-97.8558,20,1619481068,49,48.2,11.5
RU,Neryungri,56.6709,124.6491,100,1619481513,99,33.89,1.72
NO,Roald,62.5833,6.1333,100,1619481514,75,35.6,12.66
US,Stephenville,32.2207,-98.2023,1,1619481514,47,78.8,12.66
AO,Soyo,-6.1349,12.3689,100,1619481514,89,79.36,6.85
DE,Vechelde,52.2604,10.3649,75,1619481515,48,39.2,6.91
NG,Hadejia,12.4498,10.0444,1,1619481515,10,86.86,7.07
CN,Nanchong,30.7951,106.0847,100,1619481515,78,65.68,2.04
US,Walker,30.7335,-95.5669,1,1619481516,50,80.6,4.61
IN,Rāzām,18.4667,83.6667,9,1619481516,84,77.16,2.55
GN,Boffa,10.1667,-14.0333,100,1619481516,73,77.92,3.11
CA,Bonnyville,54.2668,-110.735,40,1619481517,39,48.2,12.66
GB,Lerwick,60.1545,-1.1494,75,1619481517,81,44.6,13.8
NG,Wamba,8.9333,8.6,93,1619481517,77,75.34,3.91
US,Kahului,20.8947,-156.47,40,1619480859,57,80.6,5.75
GN,Labé,11.3182,-12.2833,97,1619481518,42,77.05,4.47
RU,Magistral'nyy,56.1725,107.4458,42,1619481518,66,25.93,11.81
AR,General Roca,-39.0333,-67.5833,0,1619481518,82,60.8,3.71
CD,Kisangani,0.5167,25.2,45,1619481519,97,69.1,2.15
JP,Nishihara,26.1842,127.7558,75,1619481519,68,69.8,12.66
BW,Gweta,-20.1833,25.2333,1,1619481519,26,68.0,7.58
IT,Spoleto,42.7448,12.7374,71,1619481520,52,55.0,4.61
MU,Bambous Virieux,-20.3428,57.7575,75,1619480937,94,77.0,14.97
US,‘Ewa Beach,21.3156,-158.0072,40,1619481520,57,82.4,11.5
US,Bethel,41.3712,-73.414,1,1619481019,19,59.0,9.22
BR,Paragominas,-2.9667,-47.4833,80,1619481521,95,73.36,3.09
US,State College,40.7934,-77.86,1,1619481357,20,60.8,8.05
AO,Sumbe,-11.2061,13.8437,15,1619481521,85,78.78,6.17
BR,Cidreira,-30.1811,-50.2056,32,1619481170,72,63.46,9.66
MA,Tiznit Province,29.5833,-9.5,26,1619481522,86,56.86,2.39
PK,Keti Bandar,24.1447,67.4497,0,1619481522,77,79.61,9.44
RU,Berdigestyakh,62.0989,126.6992,99,1619481145,84,25.72,9.26
PG,Samarai,-10.6167,150.6667,67,1619480927,79,81.82,8.16
PW,Kloulklubed,7.0419,134.2556,75,1619481157,89,80.6,3.44
TL,Airai,-8.9266,125.4092,52,1619481181,50,66.34,1.9
AR,Comodoro Rivadavia,-45.8667,-67.5,0,1619481152,39,66.2,14.97
MG,Sambava,-14.2667,50.1667,53,1619481523,90,74.53,8.66
BR,Corrente,-3.7367,-43.3394,78,1619481523,90,74.39,3.69
RU,Lukh,57.0124,42.2584,42,1619481524,80,32.94,3.29
BF,Dori,14.0354,-0.0345,38,1619481524,26,90.55,6.26
CN,Yuxia,34.0615,108.6291,100,1619481524,93,51.8,2.24
ID,Padang,-0.9492,100.3543,20,1619481525,94,75.2,3.44
RU,Evensk,61.95,159.2333,19,1619481525,78,20.16,1.9
CZ,Strání,48.9022,17.7067,54,1619481525,65,37.0,6.04
CN,Shache,38.4167,77.2406,0,1619481181,21,56.62,3.56
MX,Guerrero Negro,27.9769,-114.0611,100,1619480946,59,63.12,17.02
US,Pacific Grove,36.6177,-121.9166,4,1619481526,75,57.0,17.52
CA,Clyde River,70.4692,-68.5914,90,1619480887,100,24.8,2.3
AR,Morón,-34.6534,-58.6198,41,1619481205,80,63.0,2.24
RU,Ola,59.5833,151.2833,10,1619481526,75,21.85,2.98
LY,Ajdabiya,30.7554,20.2263,40,1619481496,49,65.16,6.55
NO,Notodden,59.5594,9.2585,13,1619481527,69,34.0,4.14
IT,Province of Mantua,45.1667,10.7833,100,1619481527,87,53.01,5.01
KE,Lamu,-2.2717,40.902,62,1619481246,81,80.58,10.04
RU,Okhotsk,59.3833,143.3,95,1619481528,75,25.0,3.27
IN,Margherita,27.2833,95.6833,33,1619481528,35,75.49,1.86
AU,Codrington,-38.2667,141.9667,63,1619481528,70,58.73,1.52
MX,Tecomán,18.9167,-103.8833,90,1619481529,48,84.2,13.8
SO,Bandarbeyla,9.4942,50.8122,95,1619481036,72,82.6,3.85
CL,Ancud,-41.8697,-73.8203,90,1619481529,87,57.0,4.61
GT,Champerico,14.3,-91.9167,75,1619481529,74,86.0,9.22
PG,Kavieng,-2.5744,150.7967,46,1619480838,69,84.04,2.46
NL,Gemeente Wageningen,51.9667,5.6667,20,1619481341,70,42.01,10.36
RU,Bukachacha,52.9833,116.9167,97,1619481530,71,36.14,9.4
CA,Aklavik,68.2191,-135.0107,100,1619480993,45,21.2,9.22
RU,Novyy Urgal,51.0736,132.5642,100,1619481530,29,53.11,8.57
CA,Port Hardy,50.6996,-127.4199,40,1619480714,76,55.4,6.91
SA,Najrān,17.4924,44.1277,40,1619481531,78,69.8,6.91
HN,Barra Patuca,15.8,-84.2833,40,1619481531,70,79.63,12.19
BR,Dom Pedrito,-30.9828,-54.6731,0,1619481531,81,52.93,4.59
CN,Zhangye,38.9342,100.4517,87,1619481532,20,41.74,5.44
RU,Dukat,62.55,155.55,4,1619481532,69,20.62,5.26
PT,Aljezur,37.3191,-8.8033,85,1619481015,93,58.48,5.39
RU,Myaundzha,63.0494,147.1858,99,1619481533,86,15.58,4.27
NZ,Waipawa,-41.4122,175.5153,90,1619481533,71,55.0,16.11
MX,Cabo San Lucas,22.8909,-109.9124,90,1619480937,60,78.01,16.11
BR,Porto Velho,-8.7619,-63.9039,40,1619481523,78,78.8,3.44
US,Portland,45.5234,-122.6762,75,1619480982,62,59.0,5.75
TZ,Inyonga,-6.7167,32.0667,91,1619481533,97,62.98,3.33
CN,Rongcheng,30.634,117.8517,100,1619481534,97,60.42,1.72
RU,Yarovoy,52.9273,78.58,100,1619481534,74,48.34,8.32
NA,Aranos,-24.1333,19.1167,46,1619481535,29,65.34,4.61
AU,Mount Gambier,-37.8333,140.7667,90,1619481535,77,57.2,6.91
RU,Stupino,54.9008,38.0708,40,1619481482,81,37.4,11.18
RU,Arman',59.7,150.1667,19,1619481107,69,23.97,1.45
ID,Kabanjahe,3.1001,98.4908,75,1619481535,100,77.0,2.3
CN,Weihai,37.5017,122.1136,100,1619481536,91,54.54,13.51
OM,Nizwá,22.9333,57.5333,80,1619481536,27,77.27,2.51
IT,Marsala,37.7966,12.4352,0,1619481536,59,68.0,20.71
NA,Oranjemund,-28.55,16.4333,6,1619481537,87,59.22,4.65
JP,Shimoda,34.6667,138.95,75,1619481009,67,57.2,8.05
IT,Fiumicino,41.7675,12.2291,0,1619481537,63,59.0,4.61
SD,Doka,13.5167,35.7667,84,1619481538,56,78.53,8.84
RU,Usinsk,65.9939,57.5281,100,1619481103,96,35.37,6.96
NA,Khorixas,-20.3667,14.9667,4,1619481538,57,65.66,2.89
BR,Maceió,-9.6658,-35.7353,0,1619481201,94,75.2,4.61
BE,Bilzen,50.8732,5.5184,100,1619481538,65,45.0,8.05
SA,Sakakah,29.9697,40.2064,0,1619481539,23,73.4,13.8
NZ,Dunedin,-45.8742,170.5036,55,1619481433,63,46.99,18.01
